,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,20.0,236.0,62.7,2.4,4.0,7.0,6.0,3.0,0.2,0.55,0.85,60300.0,6358.0,0.36,0.22,0.21,0.08,6347.61,drivens
村上 淳,18.0,203.0,-426.9,3.0,3.0,2.0,5.0,8.0,0.16,0.27,0.55,45200.0,6080.0,0.16,0.25,0.12,0.14,6266.66,drivens
鈴木 たろう,21.0,249.0,186.6,2.28,8.0,4.0,4.0,5.0,0.38,0.57,0.76,48200.0,6853.84,0.25,0.17,0.2,0.11,5375.0,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,16.0,211.0,-4.2,2.43,2.0,9.0,1.0,4.0,0.12,0.68,0.75,53800.0,7037.5,0.15,0.22,0.18,0.09,5436.84,EX
勝又 健志,18.0,233.0,78.6,2.33,7.0,2.0,5.0,4.0,0.38,0.5,0.77,50500.0,6939.53,0.27,0.17,0.18,0.11,5455.55,EX
松ヶ瀬 隆弥,21.0,242.0,276.2,2.23,7.0,6.0,4.0,4.0,0.33,0.61,0.8,60100.0,7024.56,0.16,0.24,0.23,0.1,4419.23,EX
二階堂 瑠美,15.0,186.0,-178.0,2.76,3.0,3.0,3.0,6.0,0.2,0.4,0.6,66700.0,6727.27,0.17,0.16,0.17,0.1,6235.0,EX
内川 幸太郎,16.0,198.0,-53.4,2.62,5.0,1.0,5.0,5.0,0.31,0.37,0.68,48500.0,7096.96,0.14,0.2,0.16,0.1,5570.0,sakura
岡田 紗佳,14.0,159.0,-225.9,2.89,1.0,4.0,4.0,5.0,0.07,0.35,0.64,50500.0,6115.62,0.18,0.22,0.2,0.13,6272.72,sakura
沢崎 誠,19.0,240.0,306.2,2.1,8.0,4.0,4.0,3.0,0.42,0.63,0.84,48900.0,6138.77,0.21,0.18,0.2,0.05,5650.0,sakura
堀 慎吾,21.0,241.0,82.1,2.35,4.0,7.0,8.0,2.0,0.19,0.52,0.9,61800.0,6012.72,0.23,0.19,0.22,0.09,6854.54,sakura
滝沢 和典,18.0,221.0,217.9,2.22,6.0,6.0,2.0,4.0,0.33,0.66,0.77,62600.0,7456.25,0.15,0.18,0.21,0.09,5595.23,konami
佐々木 寿人,21.0,254.0,-212.7,2.85,5.0,3.0,3.0,10.0,0.23,0.38,0.52,60200.0,7525.0,0.17,0.22,0.14,0.11,4875.86,konami
高宮 まり,14.0,171.0,-199.6,2.82,3.0,1.0,5.0,5.0,0.21,0.28,0.64,52100.0,6378.12,0.18,0.17,0.18,0.11,6900.0,konami
伊達 朱里紗,17.0,209.0,315.7,2.17,7.0,3.0,4.0,3.0,0.41,0.58,0.82,105500.0,7405.88,0.24,0.24,0.24,0.1,5627.27,konami
多井 隆晴,19.0,214.0,126.5,2.26,4.0,7.0,7.0,1.0,0.21,0.57,0.94,51900.0,6738.09,0.21,0.21,0.19,0.07,5266.66,abemas
白鳥 翔,18.0,222.0,82.2,2.33,5.0,4.0,7.0,2.0,0.27,0.5,0.88,49700.0,6552.38,0.22,0.18,0.18,0.09,5740.0,abemas
松本 吉弘,20.0,234.0,119.6,2.35,5.0,7.0,4.0,4.0,0.25,0.6,0.8,47000.0,6942.59,0.2,0.2,0.23,0.07,5733.33,abemas
日向 藍子,13.0,154.0,-147.4,2.76,2.0,2.0,6.0,3.0,0.15,0.3,0.76,51300.0,6166.66,0.14,0.23,0.17,0.08,5707.69,abemas
魚谷 侑未,19.0,220.0,2.2,2.52,6.0,2.0,6.0,5.0,0.31,0.42,0.73,58800.0,6451.06,0.24,0.16,0.21,0.09,6355.0,sega_summy
近藤 誠一,19.0,230.0,-117.6,2.68,4.0,4.0,5.0,6.0,0.21,0.42,0.68,57200.0,7448.57,0.16,0.15,0.15,0.1,5464.0,sega_summy
茅森 早香,18.0,236.0,102.0,2.27,4.0,8.0,3.0,3.0,0.22,0.66,0.83,62100.0,8795.45,0.19,0.28,0.18,0.14,5294.28,sega_summy
東城 りお,14.0,169.0,50.3,2.5,4.0,2.0,5.0,3.0,0.28,0.42,0.78,77200.0,6351.16,0.2,0.23,0.25,0.14,4825.0,sega_summy
萩原 聖人,15.0,179.0,-230.5,2.86,1.0,4.0,6.0,4.0,0.06,0.33,0.73,38600.0,7028.57,0.1,0.29,0.15,0.11,5315.0,raiden
瀬戸熊 直樹,17.0,193.0,-312.7,3.0,2.0,4.0,3.0,8.0,0.11,0.35,0.52,48400.0,6803.44,0.15,0.27,0.15,0.16,4684.37,raiden
黒沢 咲,18.0,228.0,-148.0,2.66,4.0,5.0,2.0,7.0,0.22,0.5,0.61,53500.0,6587.5,0.07,0.22,0.17,0.1,5913.04,raiden
本田 朋広,20.0,246.0,-239.4,2.72,2.0,6.0,7.0,5.0,0.1,0.4,0.75,47400.0,6189.47,0.21,0.2,0.15,0.11,5246.42,raiden
小林 剛,23.0,283.0,125.7,2.41,6.0,5.0,8.0,4.0,0.26,0.47,0.82,54200.0,6382.25,0.33,0.15,0.21,0.09,5311.53,u-next
朝倉 康心,17.0,219.0,99.6,2.41,5.0,5.0,2.0,5.0,0.29,0.58,0.7,102400.0,6408.0,0.24,0.24,0.22,0.09,7325.0,u-next
石橋 伸洋,12.0,137.0,-248.2,3.0,1.0,2.0,5.0,4.0,0.08,0.25,0.66,58600.0,6654.54,0.26,0.21,0.16,0.11,6237.5,u-next
瑞原 明奈,18.0,209.0,429.1,1.83,7.0,9.0,0.0,2.0,0.38,0.88,0.88,66100.0,6346.29,0.19,0.29,0.25,0.05,3850.0,u-next
