,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,20.0,234.0,23.4,2.45,5.0,5.0,6.0,4.0,0.25,0.5,0.8,55600.0,5767.34,0.3,0.2,0.2,0.08,5604.76,drivens
村上 淳,14.0,160.0,-279.1,2.85,0.0,5.0,6.0,3.0,0.0,0.35,0.78,30000.0,6050.0,0.21,0.25,0.12,0.08,5271.42,drivens
鈴木 たろう,16.0,218.0,-66.8,2.5,3.0,6.0,3.0,4.0,0.18,0.56,0.75,51600.0,6753.84,0.25,0.16,0.17,0.1,6056.52,drivens
丸山 奏子,8.0,99.0,-259.7,3.25,0.0,2.0,2.0,4.0,0.0,0.25,0.5,46700.0,7900.0,0.19,0.24,0.11,0.12,5900.0,drivens
二階堂 亜樹,15.0,174.0,-16.8,2.66,4.0,2.0,4.0,5.0,0.26,0.4,0.66,59500.0,7177.77,0.14,0.19,0.2,0.1,5527.77,EX
勝又 健志,15.0,176.0,185.8,2.13,5.0,4.0,5.0,1.0,0.33,0.6,0.93,61200.0,6206.97,0.17,0.2,0.24,0.07,6828.57,EX
松ヶ瀬 隆弥,16.0,208.0,226.3,2.06,6.0,6.0,1.0,3.0,0.37,0.75,0.81,51900.0,7756.09,0.19,0.21,0.19,0.09,6095.0,EX
二階堂 瑠美,14.0,160.0,30.2,2.57,6.0,0.0,2.0,6.0,0.42,0.42,0.57,72300.0,7124.24,0.16,0.18,0.2,0.13,6104.54,EX
内川 幸太郎,14.0,180.0,-18.8,2.6,4.0,2.0,4.0,4.0,0.28,0.42,0.71,59600.0,7566.66,0.26,0.24,0.15,0.1,5363.15,sakura
岡田 紗佳,11.0,123.0,-80.2,2.81,3.0,1.0,2.0,5.0,0.27,0.36,0.54,64100.0,7030.43,0.19,0.21,0.18,0.12,3553.33,sakura
堀 慎吾,17.0,206.0,6.7,2.64,5.0,3.0,2.0,7.0,0.29,0.47,0.58,60200.0,6172.91,0.24,0.17,0.23,0.12,5084.0,sakura
渋川 難波,18.0,223.0,-49.0,2.55,4.0,5.0,4.0,5.0,0.22,0.5,0.72,56700.0,7326.31,0.22,0.21,0.17,0.15,3823.52,sakura
滝沢 和典,13.0,167.0,-106.7,2.76,2.0,3.0,4.0,4.0,0.15,0.38,0.69,46200.0,6956.25,0.14,0.22,0.19,0.08,5507.14,konami
佐々木 寿人,15.0,175.0,-24.8,2.53,4.0,3.0,4.0,4.0,0.26,0.46,0.73,49200.0,6163.15,0.22,0.25,0.21,0.11,5410.0,konami
高宮 まり,14.0,168.0,204.4,2.14,5.0,4.0,3.0,2.0,0.35,0.64,0.85,66400.0,8010.81,0.25,0.23,0.22,0.1,6358.82,konami
伊達 朱里紗,16.0,194.0,280.7,2.12,7.0,3.0,3.0,3.0,0.43,0.62,0.81,64300.0,8140.54,0.19,0.19,0.19,0.1,4928.57,konami
多井 隆晴,14.0,178.0,60.0,2.28,4.0,4.0,4.0,2.0,0.28,0.57,0.85,60400.0,5422.72,0.2,0.19,0.24,0.14,5516.0,abemas
白鳥 翔,15.0,187.0,-50.3,2.53,3.0,4.0,5.0,3.0,0.2,0.46,0.8,77200.0,6095.0,0.26,0.16,0.21,0.13,4923.07,abemas
松本 吉弘,16.0,203.0,9.9,2.5,4.0,5.0,2.0,5.0,0.25,0.56,0.68,57100.0,6917.39,0.24,0.21,0.22,0.11,7629.16,abemas
日向 藍子,13.0,147.0,193.1,2.07,3.0,6.0,4.0,0.0,0.23,0.69,1.0,65800.0,7790.62,0.19,0.19,0.21,0.08,4850.0,abemas
魚谷 侑未,17.0,219.0,-235.0,2.82,3.0,3.0,5.0,6.0,0.17,0.35,0.64,43400.0,5764.51,0.23,0.21,0.14,0.1,4279.16,sega_summy
近藤 誠一,12.0,143.0,-221.4,2.91,1.0,3.0,4.0,4.0,0.08,0.33,0.66,53300.0,6814.28,0.21,0.25,0.14,0.11,6462.5,sega_summy
茅森 早香,17.0,237.0,15.6,2.5,3.0,6.0,5.0,3.0,0.17,0.52,0.82,90000.0,7589.36,0.19,0.25,0.19,0.11,6925.0,sega_summy
東城 りお,14.0,179.0,50.7,2.42,4.0,3.0,4.0,3.0,0.28,0.5,0.78,50400.0,7857.14,0.14,0.2,0.19,0.1,6384.21,sega_summy
萩原 聖人,11.0,141.0,-203.1,2.81,2.0,3.0,1.0,5.0,0.18,0.45,0.54,40200.0,6552.63,0.09,0.23,0.13,0.12,6029.41,raiden
瀬戸熊 直樹,16.0,197.0,-178.3,2.75,1.0,6.0,5.0,4.0,0.06,0.43,0.75,53900.0,6159.52,0.12,0.23,0.21,0.07,6140.0,raiden
黒沢 咲,15.0,192.0,21.3,2.6,3.0,2.0,8.0,2.0,0.2,0.33,0.86,112700.0,7094.59,0.08,0.24,0.19,0.06,5416.66,raiden
本田 朋広,18.0,232.0,405.5,1.94,10.0,3.0,1.0,4.0,0.55,0.72,0.77,63900.0,6765.51,0.25,0.23,0.25,0.09,5778.26,raiden
小林 剛,14.0,179.0,16.8,2.57,4.0,1.0,6.0,3.0,0.28,0.35,0.78,67200.0,5868.88,0.31,0.2,0.25,0.12,6031.81,u-next
瑞原 明奈,12.0,140.0,205.6,2.08,5.0,3.0,2.0,2.0,0.41,0.66,0.83,73800.0,6968.75,0.23,0.18,0.22,0.08,5316.66,u-next
鈴木 優,16.0,200.0,-55.2,2.5,2.0,6.0,6.0,2.0,0.12,0.5,0.87,46600.0,6108.1,0.3,0.22,0.18,0.08,4881.25,u-next
仲林 圭,16.0,185.0,-90.8,2.56,3.0,6.0,2.0,5.0,0.18,0.56,0.68,44300.0,6097.43,0.29,0.22,0.21,0.1,7821.05,u-next
