,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,7.0,78.0,64.9,2.28,2.0,2.0,2.0,1.0,0.28,0.57,0.85,44600.0,4331.57,0.34,0.19,0.24,0.05,7200.0,drivens
村上 淳,6.0,63.0,-250.8,3.33,1.0,0.0,1.0,4.0,0.16,0.16,0.33,45200.0,8720.0,0.2,0.25,0.07,0.26,6982.35,drivens
鈴木 たろう,6.0,67.0,40.0,2.33,3.0,0.0,1.0,2.0,0.5,0.5,0.66,47900.0,6500.0,0.14,0.19,0.19,0.13,6200.0,drivens
丸山 奏子,3.0,29.0,83.2,1.66,2.0,0.0,1.0,0.0,0.66,0.66,1.0,35600.0,5100.0,0.34,0.2,0.24,0.13,3475.0,drivens
二階堂 亜樹,4.0,51.0,30.0,2.25,1.0,2.0,0.0,1.0,0.25,0.75,0.75,53000.0,6109.09,0.21,0.13,0.21,0.11,4483.33,EX
勝又 健志,6.0,71.0,233.0,1.5,4.0,1.0,1.0,0.0,0.66,0.83,1.0,48800.0,6811.11,0.33,0.15,0.25,0.05,4700.0,EX
松ヶ瀬 隆弥,7.0,75.0,108.4,2.14,3.0,1.0,2.0,1.0,0.42,0.57,0.85,48400.0,7393.75,0.12,0.26,0.21,0.13,3540.0,EX
二階堂 瑠美,5.0,58.0,27.4,2.4,2.0,1.0,0.0,2.0,0.4,0.6,0.6,66700.0,7300.0,0.15,0.22,0.22,0.13,6587.5,EX
内川 幸太郎,4.0,54.0,-99.8,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,29600.0,8580.0,0.18,0.16,0.09,0.11,3800.0,sakura
岡田 紗佳,5.0,51.0,-53.0,2.7,0.0,2.0,2.0,1.0,0.0,0.4,0.8,33500.0,6008.33,0.21,0.25,0.23,0.13,5985.71,sakura
沢崎 誠,5.0,59.0,71.7,2.2,2.0,1.0,1.0,1.0,0.4,0.6,0.8,48200.0,6371.42,0.23,0.16,0.23,0.08,5340.0,sakura
堀 慎吾,8.0,88.0,36.8,2.31,1.0,4.0,2.0,1.0,0.12,0.62,0.87,43900.0,6325.0,0.21,0.19,0.22,0.1,6333.33,sakura
滝沢 和典,6.0,70.0,45.2,2.33,2.0,1.0,2.0,1.0,0.33,0.5,0.83,62600.0,6847.05,0.1,0.22,0.24,0.11,4075.0,konami
佐々木 寿人,6.0,72.0,74.9,2.33,3.0,0.0,1.0,2.0,0.5,0.5,0.66,56200.0,6654.54,0.12,0.23,0.15,0.06,2900.0,konami
高宮 まり,5.0,61.0,-38.7,2.7,1.0,0.0,3.0,1.0,0.2,0.2,0.8,45500.0,5578.57,0.18,0.24,0.22,0.09,5766.66,konami
伊達 朱里紗,5.0,56.0,13.9,2.4,1.0,1.0,3.0,0.0,0.2,0.4,1.0,40700.0,7955.55,0.26,0.23,0.16,0.16,4855.55,konami
多井 隆晴,6.0,65.0,38.8,2.33,2.0,1.0,2.0,1.0,0.33,0.5,0.83,51900.0,5483.33,0.15,0.27,0.18,0.09,6116.66,abemas
白鳥 翔,5.0,60.0,-32.6,2.6,0.0,2.0,3.0,0.0,0.0,0.4,1.0,43500.0,6575.0,0.2,0.18,0.2,0.11,5128.57,abemas
松本 吉弘,6.0,65.0,98.5,2.0,1.0,4.0,1.0,0.0,0.16,0.83,1.0,45400.0,7682.35,0.23,0.18,0.26,0.07,5440.0,abemas
日向 藍子,5.0,48.0,-135.7,3.2,0.0,1.0,2.0,2.0,0.0,0.2,0.6,35400.0,5150.0,0.16,0.27,0.12,0.1,4680.0,abemas
魚谷 侑未,7.0,73.0,26.9,2.42,2.0,1.0,3.0,1.0,0.28,0.42,0.85,44800.0,6853.33,0.21,0.17,0.2,0.1,6075.0,sega_summy
近藤 誠一,6.0,70.0,-155.5,3.16,0.0,2.0,1.0,3.0,0.0,0.33,0.5,38400.0,6442.85,0.15,0.15,0.1,0.11,5037.5,sega_summy
茅森 早香,4.0,44.0,-45.3,2.75,1.0,1.0,0.0,2.0,0.25,0.5,0.5,52300.0,6800.0,0.18,0.36,0.15,0.13,8083.33,sega_summy
東城 りお,5.0,55.0,-30.9,3.0,1.0,1.0,0.0,3.0,0.2,0.4,0.4,77200.0,6550.0,0.2,0.25,0.25,0.09,4880.0,sega_summy
萩原 聖人,6.0,76.0,-109.7,3.0,1.0,1.0,1.0,3.0,0.16,0.33,0.5,38600.0,5646.15,0.14,0.19,0.17,0.1,5512.5,raiden
瀬戸熊 直樹,6.0,64.0,60.9,2.33,2.0,2.0,0.0,2.0,0.33,0.66,0.66,48400.0,7238.46,0.12,0.29,0.2,0.12,5287.5,raiden
黒沢 咲,5.0,57.0,-88.9,3.0,1.0,0.0,2.0,2.0,0.2,0.2,0.6,30400.0,5766.66,0.08,0.22,0.21,0.15,6744.44,raiden
本田 朋広,5.0,59.0,-37.4,2.7,1.0,1.0,1.0,2.0,0.2,0.4,0.6,47400.0,8560.0,0.25,0.13,0.16,0.15,6344.44,raiden
小林 剛,5.0,61.0,-75.1,3.0,1.0,0.0,2.0,2.0,0.2,0.2,0.6,40800.0,8440.0,0.18,0.27,0.16,0.14,6555.55,u-next
朝倉 康心,7.0,89.0,75.1,2.14,1.0,4.0,2.0,0.0,0.14,0.71,1.0,44900.0,5063.15,0.28,0.22,0.21,0.06,4083.33,u-next
石橋 伸洋,5.0,55.0,-68.9,2.8,0.0,2.0,2.0,1.0,0.0,0.4,0.8,37500.0,5845.45,0.34,0.16,0.2,0.1,4883.33,u-next
瑞原 明奈,5.0,48.0,92.7,1.8,1.0,4.0,0.0,0.0,0.2,1.0,1.0,33300.0,3806.66,0.22,0.31,0.31,0.12,3750.0,u-next
