,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,2.0,19.0,-9.8,2.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,26700.0,2560.0,0.42,0.1,0.26,0.05,7700.0,drivens
村上 淳,1.0,10.0,-29.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10600.0,5200.0,0.2,0.5,0.1,0.1,3900.0,drivens
鈴木 たろう,2.0,21.0,36.3,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,40000.0,6100.0,0.19,0.14,0.23,0.04,8000.0,drivens
丸山 奏子,1.0,10.0,-26.6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13400.0,4650.0,0.2,0.2,0.2,0.3,3966.66,drivens
二階堂 亜樹,2.0,28.0,12.2,2.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,53000.0,7525.0,0.14,0.21,0.14,0.1,3233.33,EX
勝又 健志,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
松ヶ瀬 隆弥,5.0,54.0,147.4,1.8,3.0,1.0,0.0,1.0,0.6,0.8,0.8,48400.0,7441.66,0.11,0.29,0.22,0.07,3725.0,EX
二階堂 瑠美,1.0,13.0,-57.4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2600.0,7350.0,0.0,0.15,0.15,0.23,8400.0,EX
内川 幸太郎,1.0,11.0,9.6,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,29600.0,12000.0,0.27,0.0,0.09,0.09,2600.0,sakura
岡田 紗佳,2.0,19.0,-37.7,3.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,24900.0,4650.0,0.21,0.21,0.21,0.1,5300.0,sakura
沢崎 誠,1.0,13.0,68.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,48200.0,7666.66,0.3,0.15,0.23,0.0,0.0,sakura
堀 慎吾,2.0,21.0,-80.2,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,14900.0,4800.0,0.09,0.09,0.09,0.19,5625.0,sakura
滝沢 和典,2.0,24.0,-16.1,2.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,33400.0,6500.0,0.04,0.2,0.16,0.12,2600.0,konami
佐々木 寿人,3.0,34.0,-17.2,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,56200.0,6100.0,0.11,0.26,0.17,0.08,3833.33,konami
高宮 まり,2.0,29.0,-80.7,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,12400.0,3775.0,0.1,0.27,0.13,0.06,5000.0,konami
伊達 朱里紗,1.0,13.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,26000.0,8400.0,0.38,0.23,0.23,0.15,7000.0,konami
多井 隆晴,2.0,23.0,-47.8,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,19800.0,4600.0,0.08,0.3,0.08,0.17,3175.0,abemas
白鳥 翔,2.0,28.0,37.5,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,43500.0,7714.28,0.1,0.17,0.25,0.07,4350.0,abemas
松本 吉弘,2.0,19.0,22.3,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,33100.0,3200.0,0.21,0.15,0.21,0.05,8000.0,abemas
日向 藍子,2.0,22.0,-39.3,3.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,35400.0,5300.0,0.18,0.31,0.18,0.13,6166.66,abemas
魚谷 侑未,2.0,21.0,42.0,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,38100.0,4628.57,0.14,0.33,0.33,0.09,7950.0,sega_summy
